participant,task,technique,question,score
15,Move,Baseline,effort,16
15,Move,Baseline,frustration,14
15,Select,ForceEdge,mental,11
15,Select,ForceEdge,physical,8
15,Select,ForceEdge,temporal,17
15,Select,ForceEdge,performance,16
15,Select,ForceEdge,effort,13
15,Select,ForceEdge,frustration,7
15,Select,Baseline,mental,14
15,Select,Baseline,physical,9
15,Select,Baseline,temporal,13
15,Select,Baseline,performance,12
15,Select,Baseline,effort,14
15,Select,Baseline,frustration,8
